                     channel  e0/pers  em/pers  ek/pers   tr/e0  drift/e0  A_pool  A_med   A>0 crps/mae0
                       STW_4   0.1604   0.1493   0.2632   0.710    0.1119   0.205  0.211  1.00    0.6847
                         T_7   0.0551   0.0498   0.0911   0.751    0.1295   0.250  0.257  1.00    0.6743
                         U_4   0.1045   0.0975   0.1760   0.751    0.1152   0.199  0.198  1.00    0.6848
                      Uat10m   0.0866   0.0795   0.1381   0.676    0.1190   0.231  0.233  1.00    0.6801
                          PS   0.0327   0.0268   0.0562   0.899    0.2164   0.367  0.367  1.00    0.6414
                         U_3   0.0930   0.0864   0.1555   0.743    0.1211   0.209  0.212  1.00    0.6849
                         U_6   0.0989   0.0916   0.1624   0.717    0.1179   0.214  0.217  1.00    0.6828
                         U_0   0.2232   0.2178   0.4140   0.879    0.0813   0.088  0.091  0.94    0.7011
                         V_4   0.0702   0.0653   0.1181   0.752    0.1202   0.207  0.207  1.00    0.6837
                      Vat10m   0.0713   0.0639   0.1109   0.660    0.1352   0.270  0.270  1.00    0.6719
                       STW_5   0.1243   0.1166   0.2009   0.678    0.1015   0.190  0.188  1.00    0.6866
                        FLUT   0.3007   0.2774   0.4977   0.733    0.1035   0.210  0.210  1.00    0.6915
                        FLUS   0.0119   0.0109   0.0195   0.725    0.1064   0.228  0.230  1.00    0.6695
                      FSUTOA   0.0384   0.0338   0.0632   0.765    0.1385   0.285  0.282  1.00    0.6768
   frozen_precipitation_rate   0.1179   0.1019   0.1770   0.637    0.1478   0.316  0.324  0.99    0.6828
                       STW_3   0.2127   0.2006   0.3521   0.712    0.1031   0.180  0.175  1.00    0.6955
                         V_2   0.0988   0.0943   0.1708   0.773    0.1034   0.156  0.157  1.00    0.6914
                         V_0   0.1488   0.1438   0.2726   0.866    0.0895   0.115  0.110  0.98    0.6976
                         T_3   0.1046   0.0969   0.1822   0.816    0.1187   0.204  0.202  1.00    0.6847
                       STW_0   0.8693   0.8711   0.9912   0.138    0.0090  -0.009  0.008  0.62    0.7716
                         T_5   0.0748   0.0692   0.1276   0.781    0.1144   0.207  0.209  1.00    0.6830
                         V_5   0.0791   0.0739   0.1327   0.744    0.1178   0.201  0.204  1.00    0.6850
                       SHFLX   0.0188   0.0170   0.0308   0.734    0.1233   0.243  0.231  1.00    0.6747
                         V_7   0.0609   0.0540   0.0951   0.675    0.1500   0.286  0.286  1.00    0.6682
                         V_3   0.0582   0.0537   0.0970   0.743    0.1261   0.221  0.224  1.00    0.6832
                         U_7   0.0740   0.0664   0.1167   0.680    0.1374   0.266  0.265  1.00    0.6715
                         T_2   0.0748   0.0690   0.1294   0.807    0.1190   0.211  0.215  1.00    0.6823
                        FLDS   0.4069   0.3673   0.6810   0.771    0.1377   0.252  0.252  1.00    0.6753
                         V_1   0.1859   0.1808   0.3387   0.850    0.0870   0.104  0.106  0.98    0.6996
  surface_precipitation_rate   0.1366   0.1263   0.2268   0.736    0.1052   0.208  0.205  1.00    0.6927
                        TAUX   0.0690   0.0637   0.1128   0.712    0.1130   0.218  0.234  0.99    0.6690
                       STW_1   0.4118   0.3867   0.6771   0.705    0.1071   0.190  0.223  0.92    0.7217
                    DTENDTTW   0.0576   0.0512   0.0927   0.721    0.1385   0.275  0.278  1.00    0.6674
                         U_1   0.2533   0.2471   0.4561   0.825    0.0810   0.095  0.092  0.99    0.7013
                          TS   0.0217   0.0199   0.0359   0.738    0.1078   0.218  0.228  1.00    0.6803
                         T_1   0.1574   0.1519   0.2965   0.919    0.0920   0.114  0.118  0.99    0.6967
                        TAUY   0.0649   0.0600   0.1071   0.724    0.1261   0.220  0.246  0.97    0.6686
                       STW_6   0.1368   0.1293   0.2213   0.672    0.0997   0.178  0.179  1.00    0.6918
                         U_5   0.1099   0.1024   0.1823   0.727    0.1158   0.203  0.201  1.00    0.6851
                       STW_2   0.3530   0.3457   0.6107   0.751    0.0796   0.095  0.099  0.98    0.7072
                       Qat2m   0.1396   0.1308   0.2320   0.725    0.0984   0.184  0.183  1.00    0.6900
                       LHFLX   0.0574   0.0510   0.0919   0.714    0.1345   0.274  0.273  1.00    0.6635
                         U_2   0.1555   0.1484   0.2694   0.778    0.1001   0.153  0.157  1.00    0.6933
                         T_4   0.0767   0.0712   0.1314   0.786    0.1145   0.203  0.204  1.00    0.6845
                         T_0   0.2121   0.2050   0.3982   0.911    0.0828   0.103  0.105  0.93    0.6970
                         T_6   0.0797   0.0733   0.1334   0.754    0.1168   0.220  0.220  1.00    0.6809
                         V_6   0.0785   0.0721   0.1293   0.727    0.1264   0.229  0.230  1.00    0.6799
                       Tat2m   0.0369   0.0341   0.0623   0.766    0.1115   0.209  0.210  1.00    0.6819
                       STW_7   0.1485   0.1389   0.2462   0.723    0.1052   0.192  0.194  1.00    0.6879
                        FSNS   0.0131   0.0116   0.0216   0.765    0.1351   0.275  0.273  1.00    0.6787

channel-mean of (err/persistence): backbone 0.1365  cond-mean 0.1289  member 0.2219
channel-mean tr/e0 0.741  drift/e0 0.1139
channel-mean CRPS/MAE(g0) 0.6856
channel-mean pooled alignment A 0.203; fraction of (state,channel) with A>0: 0.986
