                     channel  e0/pers  em/pers  ek/pers   tr/e0  drift/e0  A_pool  A_med   A>0 crps/mae0
                       STW_2   0.3517   0.3437   0.6075   0.750    0.0843   0.104  0.106  0.99    0.7078
                         T_1   0.1596   0.1530   0.2970   0.902    0.0977   0.132  0.136  0.99    0.6952
                         V_2   0.0996   0.0953   0.1753   0.803    0.1020   0.149  0.150  1.00    0.6926
                          PS   0.0324   0.0268   0.0575   0.945    0.2182   0.355  0.364  1.00    0.6454
                         U_6   0.0990   0.0919   0.1623   0.711    0.1129   0.208  0.206  1.00    0.6845
                         U_3   0.0941   0.0879   0.1588   0.753    0.1164   0.197  0.203  1.00    0.6875
                         U_4   0.1050   0.0987   0.1772   0.748    0.1083   0.184  0.186  1.00    0.6884
                         V_7   0.0604   0.0544   0.0957   0.684    0.1376   0.261  0.261  1.00    0.6749
                         U_0   0.2254   0.2187   0.4158   0.874    0.0831   0.101  0.103  0.96    0.6989
                         T_0   0.2105   0.2058   0.4019   0.931    0.0795   0.077  0.074  0.90    0.7013
                       Qat2m   0.1417   0.1331   0.2379   0.739    0.0963   0.179  0.179  1.00    0.6896
                       STW_6   0.1391   0.1314   0.2242   0.667    0.0971   0.178  0.177  1.00    0.6923
                         U_2   0.1564   0.1497   0.2748   0.799    0.1000   0.147  0.151  1.00    0.6942
                       LHFLX   0.0611   0.0541   0.0979   0.717    0.1352   0.279  0.286  1.00    0.6611
                       Tat2m   0.0381   0.0349   0.0641   0.766    0.1133   0.222  0.226  1.00    0.6781
                         T_7   0.0564   0.0509   0.0932   0.749    0.1287   0.250  0.253  1.00    0.6736
                        FSNS   0.0139   0.0122   0.0229   0.770    0.1408   0.292  0.292  1.00    0.6744
                        TAUX   0.0679   0.0638   0.1116   0.704    0.1004   0.183  0.199  0.98    0.6749
                      Vat10m   0.0706   0.0641   0.1112   0.668    0.1254   0.248  0.247  1.00    0.6780
                        FLDS   0.4226   0.3868   0.7202   0.789    0.1285   0.229  0.228  1.00    0.6799
                       STW_1   0.4203   0.3919   0.6928   0.716    0.1155   0.203  0.230  0.94    0.7179
                       SHFLX   0.0197   0.0176   0.0321   0.732    0.1352   0.264  0.250  1.00    0.6744
                         V_5   0.0783   0.0736   0.1322   0.748    0.1087   0.185  0.188  1.00    0.6881
  surface_precipitation_rate   0.1354   0.1261   0.2296   0.764    0.1079   0.196  0.198  1.00    0.6956
                          TS   0.0240   0.0205   0.0367   0.677    0.1458   0.326  0.328  1.00    0.6598
                         V_0   0.1510   0.1453   0.2764   0.868    0.0910   0.123  0.124  1.00    0.6964
                       STW_3   0.2188   0.2078   0.3665   0.725    0.1000   0.165  0.162  1.00    0.6965
                         V_3   0.0592   0.0542   0.0994   0.763    0.1316   0.230  0.228  1.00    0.6814
                         T_6   0.0816   0.0745   0.1368   0.763    0.1201   0.229  0.228  1.00    0.6780
                        FLUS   0.0123   0.0109   0.0191   0.669    0.1210   0.274  0.270  1.00    0.6623
                         V_1   0.1886   0.1827   0.3463   0.867    0.0917   0.113  0.112  0.99    0.6978
                         V_6   0.0776   0.0722   0.1287   0.728    0.1112   0.204  0.202  1.00    0.6852
                      FSUTOA   0.0397   0.0353   0.0656   0.764    0.1282   0.268  0.269  1.00    0.6835
                        TAUY   0.0655   0.0608   0.1071   0.707    0.1113   0.208  0.234  0.97    0.6734
                         U_1   0.2559   0.2491   0.4679   0.855    0.0822   0.097  0.098  1.00    0.7006
                         T_3   0.1074   0.0999   0.1893   0.833    0.1168   0.197  0.204  1.00    0.6850
                       STW_0   0.8577   0.8592   0.9808   0.142    0.0092  -0.007  0.013  0.68    0.7698
                        FLUT   0.2992   0.2741   0.4920   0.728    0.1018   0.220  0.221  1.00    0.6925
                    DTENDTTW   0.0569   0.0512   0.0919   0.715    0.1318   0.259  0.259  1.00    0.6719
                       STW_5   0.1258   0.1184   0.2041   0.681    0.0968   0.183  0.185  1.00    0.6886
   frozen_precipitation_rate   0.1118   0.0994   0.1720   0.650    0.1298   0.277  0.279  0.99    0.6927
                         V_4   0.0713   0.0658   0.1194   0.751    0.1232   0.217  0.220  1.00    0.6822
                         T_4   0.0777   0.0726   0.1364   0.821    0.1107   0.187  0.187  1.00    0.6869
                         U_7   0.0737   0.0667   0.1170   0.682    0.1327   0.254  0.255  1.00    0.6740
                       STW_7   0.1499   0.1401   0.2493   0.729    0.1028   0.192  0.193  1.00    0.6891
                      Uat10m   0.0862   0.0791   0.1375   0.678    0.1184   0.230  0.231  1.00    0.6800
                         U_5   0.1090   0.1029   0.1832   0.737    0.1043   0.176  0.179  1.00    0.6904
                       STW_4   0.1619   0.1526   0.2667   0.705    0.0974   0.177  0.177  1.00    0.6904
                         T_2   0.0767   0.0713   0.1341   0.819    0.1181   0.199  0.201  1.00    0.6842
                         T_5   0.0759   0.0702   0.1309   0.799    0.1136   0.205  0.204  1.00    0.6838

channel-mean of (err/persistence): backbone 0.1375  cond-mean 0.1301  member 0.2250
channel-mean tr/e0 0.746  drift/e0 0.1123
channel-mean CRPS/MAE(g0) 0.6865
channel-mean pooled alignment A 0.200; fraction of (state,channel) with A>0: 0.988
