                     channel  e0/pers  em/pers  ek/pers   tr/e0  drift/e0  A_pool  A_med   A>0 crps/mae0
                        TAUY   0.0442   0.0342   0.0612   0.611    0.2515   0.440  0.463  1.00    0.6041
                         V_6   0.0528   0.0387   0.0690   0.575    0.2881   0.484  0.483  1.00    0.6021
                         T_4   0.0515   0.0419   0.0765   0.672    0.2143   0.388  0.391  1.00    0.6356
                         U_4   0.0706   0.0546   0.0980   0.614    0.2569   0.438  0.444  1.00    0.6178
                         T_1   0.1194   0.1053   0.2007   0.799    0.1688   0.289  0.293  1.00    0.6619
                         U_5   0.0724   0.0555   0.0984   0.593    0.2640   0.448  0.448  1.00    0.6154
                         U_0   0.1725   0.1501   0.2823   0.766    0.1754   0.307  0.308  1.00    0.6629
                          TS   0.0166   0.0142   0.0254   0.676    0.1593   0.326  0.337  1.00    0.6581
                       Tat2m   0.0266   0.0219   0.0397   0.667    0.1947   0.375  0.379  1.00    0.6411
                    DTENDTTW   0.0409   0.0297   0.0521   0.547    0.2741   0.492  0.494  1.00    0.5961
                       STW_4   0.1044   0.0846   0.1474   0.602    0.2103   0.395  0.394  1.00    0.6334
                       STW_3   0.1461   0.1199   0.2085   0.607    0.1997   0.382  0.378  1.00    0.6473
                       STW_2   0.2616   0.2277   0.3987   0.654    0.1653   0.312  0.315  1.00    0.6711
                      Vat10m   0.0501   0.0368   0.0642   0.547    0.2699   0.482  0.484  1.00    0.6023
  surface_precipitation_rate   0.1020   0.0841   0.1507   0.653    0.1803   0.371  0.372  1.00    0.6529
                       STW_5   0.0801   0.0650   0.1131   0.600    0.2075   0.393  0.395  1.00    0.6341
                         U_6   0.0666   0.0496   0.0879   0.575    0.2817   0.473  0.475  1.00    0.6046
                       STW_6   0.0957   0.0773   0.1334   0.585    0.2160   0.400  0.401  1.00    0.6339
                         U_2   0.1014   0.0819   0.1472   0.644    0.2309   0.398  0.399  1.00    0.6318
                       SHFLX   0.0137   0.0111   0.0198   0.631    0.1810   0.393  0.386  1.00    0.6341
                        FSNS   0.0103   0.0082   0.0153   0.684    0.1990   0.398  0.399  1.00    0.6468
                         T_5   0.0500   0.0396   0.0716   0.639    0.2288   0.416  0.416  1.00    0.6297
                        FLDS   0.3182   0.2519   0.4751   0.701    0.2244   0.410  0.411  1.00    0.6350
                         V_0   0.1151   0.0983   0.1870   0.770    0.1973   0.332  0.337  1.00    0.6581
                      Uat10m   0.0632   0.0485   0.0844   0.569    0.2450   0.447  0.448  1.00    0.6132
                         T_7   0.0361   0.0269   0.0485   0.600    0.2612   0.468  0.468  1.00    0.6087
                         V_2   0.0670   0.0538   0.0971   0.645    0.2342   0.403  0.406  1.00    0.6313
                         V_3   0.0394   0.0302   0.0543   0.613    0.2664   0.447  0.451  1.00    0.6188
                        FLUT   0.2203   0.1847   0.3273   0.647    0.1647   0.352  0.356  1.00    0.6595
                       STW_0   0.5459   0.5463   0.6725   0.231    0.0199   0.017  0.046  0.80    0.7471
                         U_7   0.0499   0.0348   0.0614   0.534    0.3112   0.520  0.522  1.00    0.5852
                         V_5   0.0539   0.0409   0.0731   0.597    0.2716   0.456  0.457  1.00    0.6128
                        FLUS   0.0076   0.0063   0.0114   0.667    0.1542   0.360  0.354  1.00    0.6334
                       STW_1   0.3408   0.2921   0.5085   0.635    0.1831   0.334  0.347  0.97    0.6885
                       STW_7   0.1043   0.0861   0.1525   0.636    0.1968   0.373  0.374  1.00    0.6422
                         T_2   0.0529   0.0432   0.0798   0.691    0.2139   0.384  0.388  1.00    0.6386
                       LHFLX   0.0382   0.0303   0.0544   0.632    0.2003   0.413  0.413  1.00    0.6232
                      FSUTOA   0.0302   0.0240   0.0444   0.675    0.2005   0.405  0.405  1.00    0.6449
                         T_6   0.0534   0.0422   0.0755   0.624    0.2265   0.416  0.414  1.00    0.6308
                         T_3   0.0702   0.0567   0.1052   0.690    0.2251   0.394  0.399  1.00    0.6355
                       Qat2m   0.1046   0.0891   0.1588   0.666    0.1682   0.335  0.334  1.00    0.6549
                         V_4   0.0484   0.0380   0.0682   0.624    0.2504   0.426  0.426  1.00    0.6240
                        TAUX   0.0467   0.0376   0.0665   0.620    0.2038   0.398  0.406  1.00    0.6201
   frozen_precipitation_rate   0.0827   0.0567   0.0999   0.523    0.3036   0.531  0.550  1.00    0.6115
                         V_7   0.0414   0.0284   0.0501   0.525    0.3231   0.531  0.532  1.00    0.5830
                          PS   0.0237   0.0133   0.0275   0.604    0.4515   0.635  0.642  1.00    0.5313
                         U_1   0.1884   0.1638   0.2993   0.719    0.1766   0.312  0.312  1.00    0.6536
                         U_3   0.0621   0.0477   0.0858   0.613    0.2635   0.445  0.447  1.00    0.6175
                         V_1   0.1370   0.1200   0.2224   0.748    0.1795   0.303  0.309  1.00    0.6558
                         T_0   0.1763   0.1595   0.3028   0.812    0.1469   0.250  0.250  1.00    0.6728

channel-mean of (err/persistence): backbone 0.0974  cond-mean 0.0817  member 0.1411
channel-mean tr/e0 0.631  drift/e0 0.2216
channel-mean CRPS/MAE(g0) 0.6330
channel-mean pooled alignment A 0.398; fraction of (state,channel) with A>0: 0.995
