                     channel  e0/pers  em/pers  ek/pers   tr/e0  drift/e0  A_pool  A_med   A>0 crps/mae0
                      Vat10m   0.0480   0.0374   0.0649   0.574    0.2375   0.433  0.434  1.00    0.6222
                       SHFLX   0.0139   0.0113   0.0199   0.624    0.1779   0.386  0.380  1.00    0.6416
                       LHFLX   0.0374   0.0307   0.0550   0.649    0.1827   0.377  0.380  1.00    0.6357
                         U_4   0.0683   0.0549   0.0976   0.625    0.2326   0.404  0.406  1.00    0.6302
                         T_1   0.1219   0.1059   0.2014   0.784    0.1835   0.310  0.311  1.00    0.6578
                       STW_0   0.5449   0.5470   0.7083   0.296    0.0273   0.015  0.061  0.85    0.7433
                       STW_6   0.0950   0.0784   0.1350   0.596    0.1964   0.377  0.381  1.00    0.6419
                         U_3   0.0616   0.0481   0.0856   0.608    0.2541   0.432  0.437  1.00    0.6227
                         U_6   0.0656   0.0503   0.0882   0.579    0.2553   0.448  0.450  1.00    0.6146
                        FSNS   0.0099   0.0082   0.0154   0.723    0.1698   0.355  0.357  1.00    0.6581
                        FLUS   0.0076   0.0065   0.0118   0.693    0.1346   0.329  0.325  1.00    0.6459
                         U_5   0.0703   0.0564   0.0992   0.610    0.2314   0.406  0.404  1.00    0.6307
                       STW_7   0.1036   0.0872   0.1543   0.647    0.1805   0.351  0.352  1.00    0.6486
                         V_2   0.0654   0.0541   0.0982   0.673    0.2153   0.373  0.374  1.00    0.6408
                         T_0   0.1718   0.1586   0.3003   0.825    0.1286   0.215  0.225  1.00    0.6795
                       Tat2m   0.0261   0.0222   0.0403   0.695    0.1679   0.331  0.334  1.00    0.6540
   frozen_precipitation_rate   0.0763   0.0583   0.1009   0.558    0.2379   0.450  0.458  1.00    0.6416
                         U_2   0.1003   0.0828   0.1485   0.656    0.2145   0.376  0.378  1.00    0.6395
                        TAUX   0.0472   0.0386   0.0680   0.623    0.2080   0.386  0.395  0.99    0.6260
  surface_precipitation_rate   0.1054   0.0853   0.1510   0.624    0.1925   0.393  0.398  1.00    0.6468
                         T_5   0.0509   0.0405   0.0726   0.632    0.2263   0.411  0.414  1.00    0.6321
                      Uat10m   0.0624   0.0492   0.0857   0.585    0.2303   0.423  0.423  1.00    0.6214
                    DTENDTTW   0.0409   0.0298   0.0523   0.549    0.2665   0.487  0.490  1.00    0.5999
                         V_3   0.0389   0.0304   0.0545   0.620    0.2528   0.430  0.432  1.00    0.6252
                       STW_4   0.1008   0.0846   0.1479   0.627    0.1815   0.355  0.357  1.00    0.6466
                         U_0   0.1683   0.1487   0.2814   0.788    0.1702   0.288  0.287  1.00    0.6678
                         V_1   0.1368   0.1204   0.2243   0.759    0.1740   0.296  0.297  1.00    0.6563
                        TAUY   0.0446   0.0350   0.0615   0.594    0.2389   0.427  0.449  1.00    0.6102
                       STW_1   0.3293   0.2945   0.5188   0.681    0.1612   0.279  0.304  0.95    0.6945
                         V_5   0.0508   0.0412   0.0735   0.636    0.2233   0.395  0.397  1.00    0.6347
                         U_1   0.1828   0.1631   0.2995   0.746    0.1588   0.276  0.280  1.00    0.6633
                          TS   0.0163   0.0143   0.0255   0.693    0.1397   0.294  0.292  1.00    0.6666
                          PS   0.0223   0.0132   0.0276   0.647    0.4195   0.606  0.611  1.00    0.5471
                         T_2   0.0526   0.0442   0.0815   0.709    0.2004   0.352  0.357  1.00    0.6486
                        FLDS   0.3036   0.2531   0.4730   0.724    0.1837   0.356  0.357  1.00    0.6520
                         V_0   0.1137   0.0987   0.1871   0.777    0.1854   0.311  0.313  1.00    0.6634
                       STW_5   0.0812   0.0656   0.1141   0.597    0.2098   0.397  0.400  1.00    0.6327
                         V_6   0.0509   0.0389   0.0686   0.583    0.2561   0.450  0.451  1.00    0.6152
                       STW_2   0.2595   0.2290   0.4074   0.687    0.1570   0.292  0.297  1.00    0.6732
                       STW_3   0.1445   0.1213   0.2113   0.622    0.1836   0.356  0.353  1.00    0.6542
                         T_3   0.0700   0.0578   0.1072   0.706    0.2066   0.370  0.370  1.00    0.6421
                         U_7   0.0493   0.0351   0.0616   0.538    0.2937   0.505  0.504  1.00    0.5919
                         T_6   0.0546   0.0432   0.0763   0.608    0.2256   0.417  0.414  1.00    0.6300
                         V_4   0.0475   0.0385   0.0688   0.639    0.2295   0.395  0.396  1.00    0.6345
                        FLUT   0.2237   0.1834   0.3274   0.644    0.1680   0.375  0.376  1.00    0.6568
                      FSUTOA   0.0287   0.0239   0.0446   0.720    0.1691   0.353  0.351  1.00    0.6602
                         V_7   0.0399   0.0286   0.0499   0.533    0.2921   0.501  0.501  1.00    0.5967
                         T_4   0.0521   0.0427   0.0777   0.673    0.2122   0.381  0.384  1.00    0.6393
                         T_7   0.0358   0.0273   0.0488   0.601    0.2453   0.449  0.448  1.00    0.6209
                       Qat2m   0.1040   0.0910   0.1624   0.687    0.1481   0.299  0.297  1.00    0.6631

channel-mean of (err/persistence): backbone 0.0959  cond-mean 0.0822  member 0.1427
channel-mean tr/e0 0.645  drift/e0 0.2048
channel-mean CRPS/MAE(g0) 0.6412
channel-mean pooled alignment A 0.374; fraction of (state,channel) with A>0: 0.996
