                     channel  e0/pers  em/pers  ek/pers   tr/e0  drift/e0  A_pool  A_med   A>0 crps/mae0
                         T_7   0.0389   0.0328   0.0592   0.682    0.1730   0.346  0.345  1.00    0.6490
                         U_7   0.0520   0.0432   0.0758   0.628    0.1948   0.370  0.370  1.00    0.6425
                       SHFLX   0.0149   0.0127   0.0227   0.673    0.1517   0.333  0.324  1.00    0.6560
                         V_5   0.0571   0.0499   0.0890   0.685    0.1670   0.308  0.309  1.00    0.6604
                         V_6   0.0556   0.0475   0.0846   0.668    0.1809   0.334  0.335  1.00    0.6537
                       LHFLX   0.0421   0.0356   0.0635   0.663    0.1604   0.341  0.340  1.00    0.6454
                         T_1   0.1261   0.1186   0.2270   0.859    0.1144   0.178  0.178  1.00    0.6866
                       STW_2   0.2787   0.2561   0.4526   0.705    0.1232   0.228  0.229  1.00    0.6876
                         U_1   0.1993   0.1886   0.3451   0.786    0.1073   0.171  0.174  1.00    0.6877
                        TAUX   0.0503   0.0450   0.0795   0.687    0.1292   0.267  0.274  1.00    0.6585
                    DTENDTTW   0.0418   0.0349   0.0616   0.641    0.1842   0.361  0.359  1.00    0.6445
                         U_3   0.0667   0.0587   0.1050   0.694    0.1625   0.297  0.296  1.00    0.6648
                         U_2   0.1092   0.0989   0.1772   0.717    0.1411   0.254  0.257  1.00    0.6743
                         V_4   0.0516   0.0456   0.0817   0.701    0.1598   0.291  0.294  1.00    0.6645
                        FLUT   0.2377   0.2076   0.3699   0.682    0.1352   0.298  0.299  1.00    0.6758
                       Qat2m   0.1131   0.1014   0.1806   0.701    0.1318   0.264  0.264  1.00    0.6744
  surface_precipitation_rate   0.1074   0.0950   0.1693   0.692    0.1368   0.283  0.287  1.00    0.6754
                          PS   0.0229   0.0168   0.0347   0.781    0.2917   0.470  0.472  1.00    0.6064
                        FLUS   0.0086   0.0075   0.0135   0.700    0.1267   0.299  0.291  1.00    0.6524
   frozen_precipitation_rate   0.0861   0.0694   0.1204   0.593    0.1995   0.399  0.413  0.99    0.6566
                         T_0   0.1820   0.1735   0.3320   0.871    0.0991   0.145  0.151  0.99    0.6917
                        FLDS   0.3384   0.2882   0.5374   0.736    0.1749   0.332  0.332  1.00    0.6575
                       STW_0   0.6442   0.6477   0.7479   0.156    0.0112  -0.019  0.016  0.70    0.7611
                       STW_5   0.0863   0.0770   0.1328   0.648    0.1406   0.277  0.279  1.00    0.6680
                        TAUY   0.0472   0.0417   0.0743   0.691    0.1519   0.287  0.312  0.98    0.6503
                        FSNS   0.0110   0.0092   0.0172   0.728    0.1675   0.343  0.347  1.00    0.6644
                       Tat2m   0.0288   0.0254   0.0459   0.715    0.1416   0.287  0.292  1.00    0.6648
                         T_2   0.0565   0.0501   0.0929   0.758    0.1504   0.280  0.280  1.00    0.6664
                       STW_3   0.1556   0.1379   0.2404   0.659    0.1450   0.286  0.288  1.00    0.6737
                         T_6   0.0576   0.0504   0.0900   0.688    0.1546   0.302  0.300  1.00    0.6637
                         U_0   0.1777   0.1691   0.3193   0.846    0.0986   0.150  0.152  0.99    0.6921
                         T_4   0.0553   0.0494   0.0898   0.731    0.1443   0.270  0.272  1.00    0.6688
                      Uat10m   0.0663   0.0572   0.0994   0.636    0.1607   0.321  0.320  1.00    0.6557
                         V_3   0.0421   0.0366   0.0655   0.689    0.1709   0.313  0.314  1.00    0.6614
                      Vat10m   0.0522   0.0443   0.0770   0.627    0.1713   0.343  0.344  1.00    0.6513
                         U_5   0.0783   0.0686   0.1207   0.666    0.1648   0.305  0.304  1.00    0.6611
                       STW_7   0.1134   0.1004   0.1774   0.679    0.1458   0.285  0.285  1.00    0.6686
                         T_3   0.0760   0.0669   0.1243   0.755    0.1574   0.289  0.291  1.00    0.6657
                       STW_4   0.1120   0.0986   0.1719   0.654    0.1497   0.295  0.296  1.00    0.6641
                         U_6   0.0710   0.0616   0.1090   0.668    0.1716   0.317  0.317  1.00    0.6569
                       STW_6   0.1027   0.0905   0.1551   0.628    0.1563   0.298  0.299  1.00    0.6659
                      FSUTOA   0.0322   0.0269   0.0502   0.723    0.1711   0.352  0.353  1.00    0.6629
                       STW_1   0.3483   0.3224   0.5687   0.707    0.1331   0.224  0.246  0.95    0.7040
                         V_2   0.0712   0.0640   0.1151   0.718    0.1467   0.265  0.265  1.00    0.6706
                         T_5   0.0536   0.0473   0.0854   0.711    0.1496   0.288  0.289  1.00    0.6663
                         U_4   0.0760   0.0668   0.1190   0.688    0.1596   0.298  0.299  1.00    0.6625
                         V_1   0.1458   0.1380   0.2551   0.804    0.1098   0.170  0.170  1.00    0.6877
                          TS   0.0176   0.0159   0.0285   0.713    0.1208   0.248  0.253  1.00    0.6756
                         V_0   0.1173   0.1115   0.2107   0.845    0.1069   0.158  0.157  1.00    0.6911
                         V_7   0.0427   0.0352   0.0619   0.626    0.2012   0.376  0.378  1.00    0.6428

channel-mean of (err/persistence): backbone 0.1044  cond-mean 0.0948  member 0.1626
channel-mean tr/e0 0.694  drift/e0 0.1500
channel-mean CRPS/MAE(g0) 0.6671
channel-mean pooled alignment A 0.283; fraction of (state,channel) with A>0: 0.992
