                     channel  e0/pers  em/pers  ek/pers   tr/e0  drift/e0  A_pool  A_med   A>0 crps/mae0
                    DTENDTTW   0.0395   0.0298   0.0521   0.565    0.2444   0.459  0.457  1.00    0.6076
                      Vat10m   0.0485   0.0371   0.0645   0.565    0.2454   0.450  0.454  1.00    0.6167
                       STW_7   0.1018   0.0869   0.1536   0.655    0.1710   0.334  0.333  1.00    0.6537
                         U_6   0.0650   0.0499   0.0878   0.583    0.2526   0.446  0.448  1.00    0.6169
                         T_3   0.0696   0.0573   0.1051   0.687    0.2071   0.375  0.379  1.00    0.6426
                         T_1   0.1209   0.1046   0.1978   0.771    0.1817   0.315  0.317  1.00    0.6572
                         U_5   0.0695   0.0559   0.0987   0.617    0.2278   0.403  0.404  1.00    0.6323
                        FSNS   0.0108   0.0084   0.0154   0.657    0.2086   0.428  0.425  1.00    0.6405
                         U_7   0.0480   0.0352   0.0620   0.557    0.2793   0.483  0.484  1.00    0.6029
                      FSUTOA   0.0313   0.0243   0.0446   0.647    0.2061   0.428  0.426  1.00    0.6418
                         V_2   0.0651   0.0541   0.0977   0.670    0.2127   0.368  0.367  1.00    0.6414
                         V_6   0.0501   0.0390   0.0691   0.601    0.2450   0.433  0.430  1.00    0.6216
                         U_2   0.1012   0.0829   0.1482   0.645    0.2213   0.384  0.385  1.00    0.6380
                          PS   0.0221   0.0132   0.0278   0.658    0.4192   0.602  0.607  1.00    0.5480
                         V_0   0.1124   0.0983   0.1868   0.787    0.1780   0.302  0.305  1.00    0.6640
                         V_4   0.0477   0.0383   0.0687   0.638    0.2315   0.405  0.405  1.00    0.6321
                         T_4   0.0516   0.0425   0.0770   0.669    0.2035   0.374  0.372  1.00    0.6420
  surface_precipitation_rate   0.0996   0.0841   0.1485   0.646    0.1614   0.344  0.345  1.00    0.6588
                         V_1   0.1378   0.1205   0.2223   0.739    0.1811   0.306  0.312  1.00    0.6556
                         T_0   0.1708   0.1584   0.3014   0.837    0.1254   0.206  0.212  1.00    0.6819
                       LHFLX   0.0380   0.0302   0.0540   0.627    0.1994   0.411  0.416  1.00    0.6209
                        TAUY   0.0426   0.0336   0.0596   0.609    0.2290   0.420  0.440  1.00    0.6088
                         U_3   0.0617   0.0482   0.0857   0.608    0.2531   0.431  0.434  1.00    0.6238
                       STW_5   0.0793   0.0658   0.1136   0.603    0.1897   0.371  0.370  1.00    0.6410
                         T_2   0.0526   0.0437   0.0803   0.695    0.2038   0.364  0.362  1.00    0.6461
                         T_6   0.0531   0.0425   0.0755   0.620    0.2151   0.406  0.406  1.00    0.6356
                         U_0   0.1685   0.1492   0.2832   0.795    0.1600   0.281  0.279  1.00    0.6685
                         V_3   0.0390   0.0305   0.0544   0.615    0.2489   0.430  0.432  1.00    0.6264
                         V_5   0.0509   0.0409   0.0727   0.624    0.2233   0.401  0.406  1.00    0.6331
                       STW_0   0.5561   0.5617   0.6946   0.239    0.0210  -0.014  0.055  0.77    0.7471
   frozen_precipitation_rate   0.0801   0.0568   0.0982   0.517    0.2785   0.509  0.515  1.00    0.6262
                      Uat10m   0.0604   0.0486   0.0846   0.596    0.2156   0.403  0.405  1.00    0.6313
                        FLDS   0.3265   0.2558   0.4780   0.680    0.2210   0.420  0.421  1.00    0.6329
                       STW_3   0.1456   0.1210   0.2104   0.614    0.1898   0.368  0.366  1.00    0.6489
                        FLUT   0.2213   0.1834   0.3232   0.632    0.1601   0.365  0.368  1.00    0.6584
                        TAUX   0.0447   0.0366   0.0643   0.621    0.2015   0.382  0.400  1.00    0.6224
                         U_1   0.1842   0.1644   0.3012   0.743    0.1607   0.276  0.279  1.00    0.6640
                       Tat2m   0.0262   0.0221   0.0400   0.683    0.1721   0.347  0.349  1.00    0.6521
                         T_7   0.0352   0.0274   0.0490   0.615    0.2258   0.431  0.429  1.00    0.6262
                         V_7   0.0398   0.0286   0.0503   0.544    0.2903   0.499  0.499  1.00    0.5972
                         U_4   0.0694   0.0554   0.0985   0.621    0.2361   0.411  0.415  1.00    0.6287
                        FLUS   0.0077   0.0064   0.0114   0.645    0.1488   0.347  0.339  1.00    0.6419
                       STW_4   0.1017   0.0844   0.1470   0.616    0.1842   0.368  0.367  1.00    0.6429
                       STW_6   0.0937   0.0773   0.1328   0.592    0.1917   0.376  0.374  1.00    0.6428
                       STW_2   0.2617   0.2285   0.4026   0.665    0.1611   0.307  0.312  1.00    0.6759
                       Qat2m   0.1039   0.0895   0.1594   0.673    0.1548   0.319  0.319  1.00    0.6591
                       STW_1   0.3582   0.2965   0.5210   0.627    0.1997   0.372  0.394  0.98    0.6681
                          TS   0.0170   0.0143   0.0255   0.660    0.1637   0.349  0.349  1.00    0.6516
                         T_5   0.0497   0.0400   0.0713   0.630    0.2161   0.401  0.400  1.00    0.6374
                       SHFLX   0.0142   0.0112   0.0200   0.616    0.1950   0.413  0.408  1.00    0.6325

channel-mean of (err/persistence): backbone 0.0969  cond-mean 0.0823  member 0.1418
channel-mean tr/e0 0.636  drift/e0 0.2063
channel-mean CRPS/MAE(g0) 0.6397
channel-mean pooled alignment A 0.380; fraction of (state,channel) with A>0: 0.995
