                     channel  e0/pers  em/pers  ek/pers   tr/e0  drift/e0  A_pool  A_med   A>0 crps/mae0
                         V_4   0.0522   0.0463   0.0825   0.693    0.1562   0.286  0.286  1.00    0.6666
                         U_6   0.0714   0.0621   0.1092   0.659    0.1630   0.312  0.312  1.00    0.6589
                       STW_7   0.1131   0.1013   0.1782   0.680    0.1338   0.268  0.272  1.00    0.6724
                    DTENDTTW   0.0424   0.0351   0.0618   0.631    0.1851   0.371  0.369  1.00    0.6440
                      Vat10m   0.0516   0.0447   0.0769   0.625    0.1587   0.318  0.319  1.00    0.6594
                         V_6   0.0552   0.0479   0.0837   0.649    0.1621   0.315  0.318  1.00    0.6605
                         U_3   0.0673   0.0593   0.1054   0.686    0.1612   0.296  0.296  1.00    0.6654
                         T_6   0.0593   0.0518   0.0912   0.664    0.1505   0.302  0.303  1.00    0.6639
                        FLUS   0.0088   0.0077   0.0138   0.692    0.1197   0.290  0.286  1.00    0.6541
                          TS   0.0178   0.0161   0.0286   0.705    0.1139   0.247  0.252  1.00    0.6786
                       Qat2m   0.1132   0.1028   0.1828   0.706    0.1184   0.241  0.240  1.00    0.6787
  surface_precipitation_rate   0.1103   0.0963   0.1691   0.660    0.1414   0.303  0.305  1.00    0.6734
                       STW_4   0.1113   0.0998   0.1737   0.664    0.1331   0.268  0.268  1.00    0.6715
                       STW_5   0.0885   0.0786   0.1352   0.640    0.1468   0.286  0.288  1.00    0.6672
                         T_5   0.0553   0.0486   0.0872   0.699    0.1522   0.296  0.295  1.00    0.6642
                         T_0   0.1792   0.1730   0.3294   0.873    0.0883   0.115  0.120  0.95    0.6960
                      Uat10m   0.0661   0.0579   0.0999   0.635    0.1523   0.305  0.308  1.00    0.6591
                       STW_3   0.1575   0.1401   0.2442   0.661    0.1401   0.279  0.273  1.00    0.6760
                        FLDS   0.3292   0.2913   0.5351   0.740    0.1480   0.282  0.283  1.00    0.6658
                          PS   0.0225   0.0169   0.0358   0.841    0.2772   0.449  0.458  1.00    0.6131
                         V_1   0.1472   0.1379   0.2552   0.797    0.1174   0.191  0.190  1.00    0.6834
   frozen_precipitation_rate   0.0825   0.0713   0.1226   0.622    0.1582   0.321  0.336  0.98    0.6806
                         V_5   0.0558   0.0501   0.0890   0.697    0.1456   0.268  0.271  1.00    0.6708
                       STW_2   0.2796   0.2594   0.4582   0.711    0.1220   0.215  0.216  1.00    0.6890
                         U_2   0.1105   0.1001   0.1799   0.722    0.1430   0.254  0.254  1.00    0.6737
                       Tat2m   0.0287   0.0259   0.0469   0.731    0.1235   0.248  0.251  1.00    0.6763
                         U_4   0.0751   0.0673   0.1197   0.699    0.1475   0.271  0.269  1.00    0.6692
                         U_0   0.1756   0.1668   0.3159   0.849    0.1041   0.156  0.157  0.99    0.6921
                         U_5   0.0780   0.0697   0.1220   0.670    0.1481   0.275  0.274  1.00    0.6695
                       STW_0   0.6543   0.6573   0.7612   0.159    0.0128  -0.008  0.030  0.80    0.7576
                         T_3   0.0763   0.0683   0.1263   0.760    0.1444   0.265  0.266  1.00    0.6696
                         T_4   0.0567   0.0506   0.0922   0.734    0.1476   0.272  0.275  1.00    0.6693
                         U_7   0.0520   0.0434   0.0757   0.619    0.1828   0.362  0.365  1.00    0.6449
                         T_2   0.0574   0.0514   0.0951   0.762    0.1468   0.265  0.267  1.00    0.6714
                         U_1   0.2018   0.1867   0.3432   0.776    0.1282   0.216  0.223  1.00    0.6808
                        FLUT   0.2407   0.2069   0.3678   0.669    0.1376   0.319  0.315  1.00    0.6727
                       STW_1   0.3452   0.3238   0.5690   0.710    0.1190   0.198  0.235  0.87    0.7087
                         T_1   0.1293   0.1191   0.2290   0.851    0.1349   0.219  0.228  1.00    0.6795
                         V_0   0.1183   0.1113   0.2110   0.843    0.1157   0.180  0.176  0.99    0.6882
                       STW_6   0.1027   0.0916   0.1568   0.635    0.1392   0.278  0.278  1.00    0.6712
                         V_3   0.0425   0.0369   0.0654   0.672    0.1718   0.318  0.321  1.00    0.6609
                         T_7   0.0392   0.0332   0.0593   0.667    0.1686   0.342  0.340  1.00    0.6523
                       LHFLX   0.0424   0.0365   0.0654   0.682    0.1473   0.318  0.320  1.00    0.6503
                      FSUTOA   0.0312   0.0268   0.0498   0.739    0.1516   0.319  0.319  1.00    0.6702
                        TAUX   0.0517   0.0461   0.0808   0.671    0.1378   0.277  0.295  0.99    0.6534
                        TAUY   0.0479   0.0422   0.0740   0.663    0.1518   0.296  0.315  0.99    0.6500
                         V_7   0.0428   0.0354   0.0612   0.604    0.1914   0.373  0.369  1.00    0.6441
                       SHFLX   0.0150   0.0129   0.0229   0.659    0.1404   0.317  0.309  1.00    0.6610
                         V_2   0.0717   0.0644   0.1160   0.719    0.1503   0.267  0.269  1.00    0.6713
                        FSNS   0.0108   0.0092   0.0173   0.744    0.1523   0.322  0.319  1.00    0.6681

channel-mean of (err/persistence): backbone 0.1047  cond-mean 0.0956  member 0.1635
channel-mean tr/e0 0.693  drift/e0 0.1437
channel-mean CRPS/MAE(g0) 0.6698
channel-mean pooled alignment A 0.275; fraction of (state,channel) with A>0: 0.991
