                     channel  e0/pers  em/pers  ek/pers   tr/e0  drift/e0  A_pool  A_med   A>0 crps/mae0
                         V_5   0.0555   0.0497   0.0884   0.697    0.1436   0.269  0.272  1.00    0.6702
                        FLDS   0.3450   0.2947   0.5525   0.747    0.1707   0.327  0.325  1.00    0.6589
                         V_7   0.0419   0.0355   0.0624   0.642    0.1809   0.346  0.347  1.00    0.6518
                         U_3   0.0671   0.0596   0.1064   0.698    0.1555   0.283  0.287  1.00    0.6690
                         T_1   0.1288   0.1182   0.2263   0.839    0.1334   0.223  0.226  1.00    0.6791
   frozen_precipitation_rate   0.0824   0.0684   0.1174   0.596    0.1706   0.368  0.379  1.00    0.6692
                       STW_0   0.6375   0.6409   0.7436   0.161    0.0115  -0.018  0.026  0.71    0.7589
                        FLUS   0.0088   0.0077   0.0136   0.671    0.1237   0.295  0.285  1.00    0.6571
                        FLUT   0.2391   0.2073   0.3694   0.678    0.1318   0.306  0.309  1.00    0.6760
                         U_7   0.0514   0.0437   0.0769   0.646    0.1769   0.340  0.342  1.00    0.6516
                       STW_1   0.3679   0.3254   0.5763   0.682    0.1520   0.289  0.310  0.95    0.6924
                      Uat10m   0.0648   0.0574   0.0998   0.655    0.1468   0.288  0.286  1.00    0.6657
                        TAUY   0.0463   0.0408   0.0720   0.674    0.1429   0.290  0.309  0.99    0.6529
                         U_0   0.1771   0.1690   0.3219   0.864    0.0991   0.145  0.154  0.99    0.6932
                         T_3   0.0760   0.0682   0.1267   0.769    0.1438   0.262  0.264  1.00    0.6721
                       Tat2m   0.0289   0.0259   0.0471   0.734    0.1268   0.261  0.267  1.00    0.6712
                    DTENDTTW   0.0411   0.0349   0.0613   0.641    0.1669   0.339  0.341  1.00    0.6513
                        TAUX   0.0492   0.0444   0.0779   0.680    0.1314   0.255  0.264  0.99    0.6583
                         U_5   0.0764   0.0688   0.1221   0.698    0.1428   0.264  0.266  1.00    0.6711
                         T_4   0.0562   0.0503   0.0927   0.755    0.1401   0.263  0.264  1.00    0.6699
                       STW_2   0.2808   0.2576   0.4570   0.710    0.1286   0.232  0.235  1.00    0.6911
                          TS   0.0187   0.0163   0.0291   0.683    0.1385   0.306  0.310  1.00    0.6652
                       STW_6   0.1013   0.0909   0.1556   0.639    0.1361   0.269  0.269  1.00    0.6731
                         T_7   0.0393   0.0336   0.0605   0.685    0.1619   0.328  0.333  1.00    0.6559
                        FSNS   0.0115   0.0094   0.0176   0.709    0.1733   0.367  0.369  1.00    0.6581
                         U_4   0.0756   0.0678   0.1213   0.709    0.1473   0.269  0.273  1.00    0.6696
                       LHFLX   0.0430   0.0361   0.0652   0.677    0.1670   0.350  0.352  1.00    0.6391
                         U_1   0.2002   0.1899   0.3527   0.813    0.1105   0.167  0.168  1.00    0.6893
                         V_6   0.0541   0.0479   0.0851   0.687    0.1501   0.286  0.286  1.00    0.6665
                         V_3   0.0423   0.0370   0.0664   0.696    0.1660   0.304  0.304  1.00    0.6642
                         V_1   0.1476   0.1387   0.2575   0.805    0.1158   0.185  0.186  1.00    0.6851
                         T_2   0.0574   0.0511   0.0949   0.763    0.1529   0.274  0.278  1.00    0.6692
                       SHFLX   0.0153   0.0130   0.0233   0.674    0.1545   0.335  0.326  1.00    0.6570
                       Qat2m   0.1133   0.1020   0.1822   0.708    0.1223   0.253  0.253  1.00    0.6759
                         T_5   0.0540   0.0478   0.0864   0.714    0.1446   0.281  0.280  1.00    0.6689
                       STW_5   0.0864   0.0776   0.1340   0.652    0.1327   0.265  0.265  1.00    0.6706
  surface_precipitation_rate   0.1059   0.0952   0.1693   0.700    0.1243   0.258  0.259  1.00    0.6818
                       STW_7   0.1126   0.1015   0.1800   0.696    0.1291   0.255  0.254  1.00    0.6752
                      Vat10m   0.0508   0.0443   0.0771   0.645    0.1556   0.308  0.310  1.00    0.6621
                         T_6   0.0580   0.0510   0.0914   0.698    0.1477   0.293  0.296  1.00    0.6654
                         U_6   0.0703   0.0618   0.1089   0.671    0.1535   0.296  0.296  1.00    0.6638
                         T_0   0.1800   0.1727   0.3332   0.892    0.0925   0.127  0.128  0.98    0.6941
                         V_4   0.0519   0.0460   0.0827   0.707    0.1550   0.285  0.287  1.00    0.6670
                         V_2   0.0712   0.0645   0.1161   0.725    0.1455   0.256  0.255  1.00    0.6726
                       STW_3   0.1567   0.1399   0.2439   0.664    0.1393   0.275  0.269  1.00    0.6757
                          PS   0.0223   0.0168   0.0358   0.853    0.2832   0.446  0.452  1.00    0.6156
                         U_2   0.1108   0.1004   0.1818   0.734    0.1478   0.254  0.259  1.00    0.6747
                       STW_4   0.1112   0.0988   0.1715   0.653    0.1331   0.279  0.276  1.00    0.6693
                      FSUTOA   0.0331   0.0274   0.0507   0.704    0.1703   0.361  0.362  1.00    0.6623
                         V_0   0.1182   0.1117   0.2120   0.849    0.1080   0.167  0.166  1.00    0.6906

channel-mean of (err/persistence): backbone 0.1047  cond-mean 0.0952  member 0.1640
channel-mean tr/e0 0.701  drift/e0 0.1436
channel-mean CRPS/MAE(g0) 0.6702
channel-mean pooled alignment A 0.275; fraction of (state,channel) with A>0: 0.992
